xeroc-delegate-1:10
xeroc-delegate-2:10
xeroc-delegate-3:12
xeroc-delegate-4:8
xeroc-delegate-5:10
xeroc-delegate-6:2
xeroc-delegate-7:12
xeroc-delegate-8:8
xeroc-delegate-9:10
delegate.xeroc:99
a.delegate.xeroc:97
b.delegate.xeroc:94
c.delegate.xeroc:80
d.delegate.xeroc:0
e.delegate.xeroc:0
f.delegate.xeroc:0
charity-delegate-1:10
charity-delegate-2:7
charity-delegate-3:6
charity-delegate-4:9
charity-delegate-5:8
charity-delegate-6:9
charity-delegate-7:8
charity-delegate-8:9
charity-delegate-9:8
delegate.charity:106
a.delegate.charity:102
b.delegate.charity:79
c.delegate.charity:105
d.delegate.charity:0
e.delegate.charity:0
f.delegate.charity:0
